LABEL,DESCRIPTION,INTENT,SCOPE,TOPIC
Data Sources Disclosed,Indicates that the data sources for this visualization are known and listed. ,Confirmation,Data,Source
Open Data,"Indicates that this visualization shows open data, i.e., that is publicly accessible, allowing viewers to download, verify, or reuse it.",Confirmation,Data,Availability
Dataset Linked,Indicates that a link to the dataset is provided with the visualization ,Confirmation,Data,Availability
Data Citation,References a published document that describes or validates the dataset,Confirmation,Context,Attribution
Raw Data Available,"Indicates that raw or unprocessed material is accessible, such as images, scans, text, etc.",Confirmation,Data,"Source, Availability"
Trusted Data Source,Indicates that the data is obtained from a source considered reliable or reputable by the author.,Confirmation,Context,Source
Dynamic Data,"Indicates the information is refreshed periodically or continuously, so the chart may change over time",Information,Data,"Availability, Time"
Data Up-To-Date,Indicates that the dataset reflects the latest data available,Confirmation,Data,"Availability, Time"
Analysis Constraints,Indicates limitations in the data analysis process,Warning,Analysis,Constraints
Missing Data,Indicates some parts of the data is missing,Warning,Data,"Constraints, Uncertainty"
Contains Modeled Data,Indicates that a portion or all of the dataset is derived from algorithmic modeling,Warning,Data,"Uncertainty, Bias"
Contains Predictions,Indicates that the entire or parts of the data are future prediction implying (unqualified) uncertainty,Warning,Data,"Uncertainty, Bias"
May Contain Bias,"Indicates potential systematic distortion from data collection, sampling, or modeling processes.",Warning,Analysis,"Bias, Uncertainty"
May Contain Noise,Indicates random variation or measurement errors in the data. ,Warning,Analysis,Uncertainty
Heterogenous Data,"Indicates that the visualization combines data from very heterogenous sources, e.g., text, images, sensors, etc. ",Information,Data,Source
Human Survey Data,Indicates that the data comes directly from individuals’ own statements or surveys.,Information,Data,Source
Derived Data,Indicates that data was ceated by processing and combining existing raw data sets,Information,Data,Transformation
Manually Collected Data,"Indicates that humans actively gathered or annotated the data (e.g., observations, surveys, qualitative coding)",Information,Data,Source
Sensor Data,"Indicates that data is captured using physical instruments or devices (e.g., sensors, lab equipment).",Information,Data,Source
API-Based Collection,"Indicates that the data was retrieved through an Application Programming Interface (API), such as online social media or online open-data APIs.",Information,Data,Source
Collection Period Specified,Indicates that the time period of data collection is known.,Confirmation,Data,Source
Data Creator(s) Attributed,Identifies the individual or team who collected the dataset,Confirmation,Context,Attribution
Adapted Elsewhere,Indicates that the same data or visualization was reused by third parties. This can be a sign of endorsement and validity of the data or visulization. ,Confirmation,Context,Usage
Multiple Data Sources,"Indicates that the visualization combines datasets from multiple origins, likely involving aggreagtion",Information,Data,Source
Single Data Source,Indicates that the visualization shows data originating only from a single data source. ,Information,Data,Source
Missing Values Handled,"Indicates that missing data had been treated by some method, e.g., by imputation, deletion, or a any other custom method.",Information,Analysis,"Constraints, Uncertainty, Preprocessing"
Outliers Removed,"Indicates that extreme values have been excluded or adjusted, which may affect distributions, variance, and other statistics.",Information,Analysis,"Preprocessing, Bias, Transformation"
Binning Applied,Indicates that continuous values were grouped into categories,Information,Analysis,"Preprocessing, Transformation"
Data Normalized,"Indicates that values have been scaled or standardized (e.g., min–max, z-score) to align ranges or distributions.",Information,Analysis,"Preprocessing, Transformation"
Tokenization Applied,Indicates that text has been split into discrete tokens (words or subwords) for analysis,Information,Analysis,"Preprocessing, NLP"
Part-of-Speech Tagging Applied,"Indicates that each token was labeled with its grammatical function (noun, verb, etc.).",Information,Analysis,"Preprocessing, NLP"
Features Extracted,"Indicates that additional variables or representations (e.g., SIFT, word embeddings) were created from raw data.",Information,Analysis,Preprocessing
Stemming Applied,"Indicates that words were reduced to base forms, removing morphological variations",Information,Analysis,"Preprocessing, NLP"
Stopwords Removed,Indicates that common filler words were removed to emphasize meaningful terms,Information,Analysis,"Preprocessing, NLP"
Analysis Tools Attributed ,Indicates that data analysis was performed using an acknowledged and available tool.  ,Confirmation,Analysis,Tools
Automatically Labeled Data,Indicates part of the entire data set comes from automatic labelling,Warning,Analysis,"NLP, Uncertainty"
Random Sampling,Indicates that data points were selected on  a purely random or probabilistic method ,Information,Analysis,Sampling
Stratified Sampling,"Indicates that subgroups (strata) pre-identified, and samples drawn proportionally from each subgroup",Information,Analysis,Sampling
Systematic Sampling,Indicates that the datapoints were chosen at a regular interval,Information,Analysis,Sampling
Cluster Sampling,Indicates that a subgroup/cluster is used as the sampling unit,Information,Analysis,Sampling
Alternative Units as Reference,Provides a reference to better comprehend used scales/units in the visualization,Confirmation,Analysis,Interpretation
Complex units,Indicates that this visualization contains units likely unfamilar to the intended audience requiring explanation of reference points,Warning,Context,"Audience, Interpretation"
95% CI Error Bars,Indicates that the chart displays 95% confidence intervals. Values outside these bars are still possible but less likely.,Information,Analysis,Uncertainty
Actual time offset,"Indicates that latest time stamp used in a chart is behind the actual time,",Warning,Analysis,"Uncertainty, Time"
Time range selected,"Indicates that data is filtered to a chosen timeframe, so earlier or later periods may be omitted",Information,Context,"Filtering, Exploration, Time"
Data filtered,Indicates that data was included or excluded based on certain conditions or status indicators,Information,Context,"Filtering, Exploration"
Geographically filtered,Indicates that the dataset is filtered by location-based rules,Information,Context,"Filtering, Exploration"
Demographic filter,"Indicates that data was included or excluded based on demographic attributes (e.g., age, gender, income, etc.)",Information,Context,"Exploration, Filtering"
Data manually removed,Indicates that certain data points were intentionally removed for specific reasons,Warning,Analysis,"Constraints, Exploration"
Can sort & filter,Indicates that viewers can reorder or filter data for a customized view,Confirmation,Analysis,"Tools, Exploration"
Aggregated data,"Indicates that values have been combined or averaged, which may hide detailed variations",Information,Analysis,Aggregation
Simpson's Paradox,Indicates that combined data may conceal or reverse trends visible in separate subgroups. This is know at Simpson's paradox,Warning,Analysis,Interpretation
Correlation ≠ Causation,Reminds the reader of a visualization that a correlation in the visualization may not or knowingly is not a cause. ,Warning,Analysis,Interpretation
Major Finding,Indicates that a this visulization shows a central result,Confirmation,Context,"Interpretation, Usage"
Adjusted baseline,"Indicates that a non-zero or shifted reference point is used (e.g., per capita, moving averages).",Confirmation,Analysis,Transformation
Possible visual artifacts,Indicates that the visualization algorithm or scaling method may produce patterns not present in the underlying data,Warning,Analysis,Interpretation
Rounding errors,"Indicates that data in the visualization may contain rounding errors, e.g., values not adding up to 100%. ",Warning,Analysis,Constraints
Mind false conclusions,Warns the reader that a seemingly obvious visual pattern may lead to false conclusions,Warning,Analysis,Interpretation
Shows top N,Indicates that the visualization only shows the top N elements of some selection and based on some criterion.,Information,Analysis,Filtering
For general audience,"Indicates that this visualization was designed to be easily understood by a general audience without domain-expertise, i.e., that it migth make some simplifications or ommits some complexity",Information,Context,Audience
For experts only,Indicates that the chart is created for those with specialized or technical knowledge in that domain,Information,Context,Audience
For policy makers,"Indicates that the chart is primarily aimed at government officials or decision-makers, the visualization contains very condensed, high-level information.",Information,Context,Audience
Public domain visualization,Indicates that the chart is free from copyright restrictions,Information,Context,License
<X> License,Indicates a specific license under which the chart is distributed,Information,Context,License
Public domain data,Indicates that the dataset is free from copyright or usage restrictions,Information,Context,License
Data: CC0 Dedication,Indicates that the data is under the Creative Commons Public Domain Dedication (CC0),Information,Context,License
Data: ODC-PDDL,Indicates that the dataset is licensed under the Open Data Commons Public Domain Dedication and License,Information,Context,License
Attributed Visualization Creators,Indicates that the individual or organization responsible for the visualizatio creation,Confirmation,Context,Attribution
Sensitive topic,Indicates that the charts is about a sensitive topic and who's findings may offset readers. ,Warning,Context,Audience
Technical terminology,Indicates that the visulization uses domain-specific technical terms unfamiliar to many people. ,Warning,Context,Audience
Terminology explained,Indicates that definitions or clarifications of special terms are provided.,Confirmation,Context,Audience
Background reading available,Indicates that extra materials or readings are provided for further context.,Confirmation,Context,Usage
Can mouseover,Indicates that users see additional details upon hovering over elements,Information,Interaction,Exploration
Zoomable,Indicates that the map is zoomable,Information,Interaction,Exploration
Can sort,Indicates that users can reorder elements along a particular dimension.,Information,Interaction,Exploration
Paramterizable,Indicates that users can modify parameters or settings of the visualization.,Information,Interaction,Exploration
Brushing & linking,Indicates that users can brush and highlight elements within or across a set of visualizations ,Information,Interaction,Exploration
Details-on-demand,Indicates that details-on-demand are available for hovered or selected elements,Confirmation,Interaction,Exploration
Interactive pre-filter,Indicates that the visualized data is pre-filtered but can be manually adjusted,Warning,Interaction,"Exploration, Filtering"
Device-responsive,Indicates that the chart automatically adapts to various screen sizes and aspect ratios.,Confirmation,Interaction,"Exploration, Accessibility"
Non-area-preserving projection,Indicates that the chosen map projection does not keep area proportions consistent,Warning,Visual Encoding,Maps
Points don't match exact locations,Indicates that symbol positions on the map may not reflect precise coordinates,Warning,Visual Encoding,"Maps, Uncertainty"
Points match exact locations,Indicated that symbol positions have exact coordinates for the event.,Confirmation,Visual Encoding,Maps
Uncertainty visualized,"Indicates that statistical or model uncertainty is displayed (e.g., error bars, confidence bands)",Confirmation,Visual Encoding,Uncertainty
Uncertainty omitted,Indicates that uncertainty in the data is potentially known but not visualized. ,Warning,Visual Encoding,Uncertainty
"Dual-axis encoding
",Indicates that two different (vertical) axes are used to represent separate variables in the same chart.,Warning,Visual Encoding,"Axes, Interpretation"
Truncated axis,"Indicates that an axis starts from a non-zero point, explaining the rationale for that",Warning,Visual Encoding,"Axes, Interpretation"
Inconsistent axis intervals,"Indicates that intervals on the axis are not uniform, potentially confusing scale perception.",Warning,Visual Encoding,Axes
Inverted axis,"Indicates that an axis direction is reversed with respect to an otherwise intuitive direction, e.g., higher values on the top, time passing from left to right, etc. ",Warning,Visual Encoding,"Axes, Interpretation"
Differing Y-axis,Indicates that multiple charts use differing y-axis scales or baselines,Warning,Visual Encoding,"Axes, Interpretation"
Log scale,Indicates that a logarithmic scale is used to represent data,Warning,Visual Encoding,Axes
Size distortion,Indicates that graphical elements’ sizes may not be strictly proportional to their data values,Warning,Visual Encoding,
Small values exaggerated,Indicates that tiny data points are magnified for visibility,Warning,Visual Encoding,
